id,worldId,maxLevel,name,description,costBase,costAdd,costMul,costExp
// upgrades,,,,,,,,
1,53,100,Feed Fish,Upgrade The Sell Price Of Each Fish,1,0,10,1.5
2,53,100,Recast,+0.1% chance to Recast,1000,0,1.5,1
4,53,1,Unlock Combo,Collect More Fish Each Cast,500,0,1,1
5,53,100,Increase Combo Max,Increases Max Combo by 10 Per Level,500,0,3,1
23,53,1,Improve Auto Fisher,,1,0,240,1.5
33,53,1,Combo Increase,Make Combo Go Up More Per Fish,1,0,340,1.5
48,53,1,Improve Fish Transporter,,1,0,490,1.5
// worlds,,,,,,,,
50,0,0,Title Screen,,0,0,0,0
51,0,0,Vault,,0,0,0,0
52,0,0,Rebirth,,0,0,0,0
53,0,0,Forest,This is your starting spot the middle of nowhere,0,0,1,1
54,53,1,Deep Ocean,You got stranded out in the middle of the ocean,10000,0,1,1
55,54,1,Tropical Island,So tropical,10000,0,1,1
56,55,1,Desert,So hot,10000,0,1,1
57,56,1,Swamp,Nasty,10000,0,1,1
58,57,1,Cherry Blossom,Wow so pretty,10000,0,1,1
59,58,1,Snowy Village,Its a little chilly,10000,0,1,1
60,59,1,Volcano,Its hot down here,10000,0,1,1
61,60,1,Cloudy Sky,Did I die,10000,0,1,1
62,61,1,Space,How did I get out here,10000,0,1,1
// auto fishers,,,,,,,,
63,53,100,Auto Fisher #1,,1,0,2,1
64,53,100,Auto Fisher #2,,2,0,3,1
65,53,100,Auto Fisher #3,,3,0,4,1
66,53,100,Auto Fisher #4,,4,0,5,1
67,53,100,Auto Fisher #5,,5,0,6,1
68,53,100,Auto Fisher #6,,6,0,7,1
69,53,100,Auto Fisher #7,,7,0,8,1
70,53,100,Auto Fisher #8,,8,0,9,1
71,53,100,Auto Fisher #9,,9,0,10,1
72,53,100,Auto Fisher #10,,10,0,11,1
// bait,,,,,,,,
74,53,1,Fish Food,<green>Chance To Not Reset Combo<green>,2,0,1,1
75,53,1,Fish,You Wouldnt Dare\n<green>Catch More Fish</green>\n<red>Increase Fish Speed</red>,3,0,1,1
77,53,1,Mirror,<green>Increase Golden Fish Chance</green>,5,0,1,1
79,53,1,Creatine,<green>Increase Green / Yellow</green>,7,0,1,1
80,53,1,Bubble Gum,<green>Decrease Fish Speed</green>,8,0,1,1
81,53,1,Metronome,<green>Increase Green</green>\n<red>Decrease Yellow</red>,9,0,1,1
88,53,1,Alarm Clock,<green>Start At Higher Combo</green>,16,0,1,1
89,53,1,Master Bait,<green>Increase Fish Caught\nDecrease Fish Speed\nIncrease Combo</green>,17,0,1,1
73,53,1,Pepper,<red>Increase Fish Speed</red>,1,0,1,1
// mechanic data,,,,,,,,
90,53,100,George,,1000,0,1,1
91,54,100,,,10000,0,1,1
92,55,100,,,100000,0,1,1
93,56,100,,,1000000,0,1,1
94,57,100,,,10000000,0,1,1
95,58,100,,,100000000,0,1,1
96,59,100,,,1000000000,0,1,1
97,60,100,,,10000000000,0,1,1
98,61,100,,,100000000000,0,1,1
99,62,100,,,1000000000000,0,1,1
// pet data,,,,,,,,
100,53,1,Golden Otter,Knows which fish look expensive\nIncrease Fish Price,100,0,1,1
101,53,1,Carb,Increase Max Combo,1000,0,1,1
106,53,1,Chase,Increase Golden Fish Buff,100000000,0,1,1
110,53,1,Earl,Increase Combo Increase,100000000000,0,1,1
112,53,1,Herding Fish,Increase Fish Schools,100000000000000,0,1,1
113,53,1,Sad White Bush,Decrease Rain Intervals,100000000000000,0,1,1
// fishing rod,,,,,,,,
114,53,0,Power,What Level Of Fish You Can Catch,100,2,3,1
115,53,0,Speed,How Fast The Fish Swims,1,1,2,1
116,53,0,Catch Chance,How Many Fish You Catch Per Cast,1,5,1.12,1
